link,class,Agenda Number,Agenda Item,Mayor Taylor,Disch (Ward 1),Harrison (Ward 1),Song (Ward 2),Watson (Ward 2),Radina (Ward 3),Ghazi-Edwin (Ward 3),Eyer (Ward 4),Akmon (Ward 4),Briggs (Ward 5),Cornell (Ward 5)
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6485628&GUID=63B2C391-22A7-44DD-B029-5403238EA81B&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,nomination pass,MC-1,Appointments - Confirmations,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Absent,TRUE,Absent,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6495939&GUID=336BA872-01E5-4AF4-964E-EA0A6E303930&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-2,"Resolution to Authorize the Purchase of Golf Course Equipment from Spartan Distributors Inc. (Omnia Partners - $534,189.62)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Absent,TRUE,Absent,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6495935&GUID=9A833C00-F80A-41EC-B7B5-6822051B43CC&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-3,"Resolution to Support the Leslie Science and Nature Center Nature Playscape and Appropriate $250,000.00 (8 Votes Required)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Absent,TRUE,Absent,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6495934&GUID=CA6A07FE-AE7C-4264-900C-92719D37A0BC&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-4,Resolution to Approve a Five-Year Lease with the University of Michigan for Parking at Riverside Park (8 Votes Required),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Absent,TRUE,Absent,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6495938&GUID=318242B7-9B74-4479-8A3E-13A27D1F499F&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-5,Resolution to Approve a Five-Year Lease Agreement with the Ann Arbor Public Schools for the Eberbach Cultural Arts Building (8 Votes Required),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Absent,TRUE,Absent,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6495940&GUID=DC6C8383-A888-4911-9D06-2DE0B5833D8E&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-6,"Resolution to Approve Five-Year Professional Services Agreements for As-Needed Architecture Services for Parks & Recreation with A3C Collaborative Architecture, InToto Studio, and Hubbell, Roth & Clark, Inc. (NTE Annual $300,000.00 Per Firm)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Absent,TRUE,Absent,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6495944&GUID=91AADF1D-CCF2-42AC-A0C7-4847819B5FFF&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-7,"Resolution to Approve a Professional Services Agreement with G.O. Williams & Associates, L.L.C. for Circular Economy Planning and Stakeholder Engagement ($80,000.00)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Absent,TRUE,Absent,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6495936&GUID=FB31AD99-E9E3-43B8-9C1B-41BAC38412AD&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-9,Resolution to Accept a Water Main Easement at 2221 Winchell Drive from St. Francis of Assisi Parish Ann Arbor (8 Votes Required),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Absent,TRUE,Absent,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6495941&GUID=F70200DB-73AF-4ACA-8BA5-1C3BB99B0A76&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-10,"Resolution to Accept a Water Main Easement at 999 Maiden Lane from Morningside Nine99, LLC (8 Votes Required)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Absent,TRUE,Absent,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6497111&GUID=2E486F2E-80BE-4485-8C4D-73D9056E1726&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-11,"Resolution to Approve a Construction Contract with DiPonio Contracting, LLC for the Crescents Water Main Replacement and Resurfacing Project (RFP 23-61; $7,691,341.70) and to Appropriate $6,601,000.00 in Contributing Funds. (8 Votes Required)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Absent,TRUE,Absent,TRUE
