link,class,Agenda Number,Agenda Item,Mayor Taylor,Disch (Ward 1),Harrison (Ward 1),Song (Ward 2),Watson (Ward 2),Radina (Ward 3),Ghazi-Edwin (Ward 3),Eyer (Ward 4),Akmon (Ward 4),Briggs (Ward 5),Cornell (Ward 5)
https://a2gov.legistar.com/LegislationDetail.aspx?ID=5946031&GUID=B03BE187-3F09-48F6-A847-D64DE6F917CA&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,nomination pass,MC-1,Appointments - Confirmations,TRUE,Absent,TRUE,Absent,TRUE,TRUE,TRUE,TRUE,Absent,TRUE,Absent
https://a2gov.legistar.com/LegislationDetail.aspx?ID=5959759&GUID=866AC400-1420-4696-A000-90D97160BC1F&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-1,"Resolution to Close Streets for the Mayor’s Autumnal Green Fair, Friday, September 15, 2023",TRUE,Absent,TRUE,Absent,TRUE,TRUE,TRUE,TRUE,Absent,TRUE,Absent
https://a2gov.legistar.com/LegislationDetail.aspx?ID=5959758&GUID=D8875633-18AB-4E14-AE3B-BEE740F0BB41&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-2,"Resolution to Approve Street Closing for the Ann Arbor SPARK Tech Trek and Mobility Row on Friday, September 22, 2023 from 6:00 AM until 8:00 PM",TRUE,Absent,TRUE,Absent,TRUE,TRUE,TRUE,TRUE,Absent,TRUE,Absent
https://a2gov.legistar.com/LegislationDetail.aspx?ID=5959747&GUID=0E2AEA36-072F-4D7B-A32D-489F6ECE6B24&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-8,"Resolution to Approve Change Order No. 2 with CLI Concrete Leveling Inc. (Bid No. 4676) for the 2022 Sidewalk Repair Project ($33,670.00, Total Contract $225,270.00)",TRUE,Absent,TRUE,Absent,TRUE,TRUE,TRUE,TRUE,Absent,TRUE,Absent
https://a2gov.legistar.com/LegislationDetail.aspx?ID=5959750&GUID=88F2B08C-5F21-4387-A1C1-C52A560AB0CB&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-11,"Resolution to Approve a Professional Services Agreement with Elevate Energy for Energy Efficiency and Electrification Support Services (Not to Exceed $250,000.00 Annually)",TRUE,Absent,TRUE,Absent,TRUE,TRUE,TRUE,TRUE,Absent,TRUE,Absent
,consent pulled,CA-3,"Resolution to Approve a Professional Services Agreement with Michigan State University to Create a Software Tool to Evaluate Water Quality and Appropriate $250,000.00 (8 Votes Required)",,,,,,,,,,,
,consent pulled,CA-4,"Resolution to Approve Amendment No. 3 to the License and Services Agreement with Tyler Technologies, Inc., Amend the FY23 Budget, and Appropriate Necessary Funds ($169,764.00) (8 Votes Required)",,,,,,,,,,,
,consent pulled,CA-5,"Resolution to Approve Participation in the Purchase of a Conservation Easement on the Larson Property in Webster Township, Approve a Participation Agreement with Webster Township, and Appropriate $81,000.00 (8 Votes Required)",,,,,,,,,,,
,consent pulled,CA-6,"Resolution to Approve Participation in the Purchase of a Conservation Easement on the Cares II Property in Webster Township, Approve a Participation Agreement with Webster Township, and Appropriate $54,000.00 (8 Votes Required)",,,,,,,,,,,
,consent pulled,CA-7,"Resolution to Award a Construction Contract to Metro Controls, Inc. for the Wheeler Service Center Building Management System Modernization Project (RFP 22-65, $131,200.00), and to Appropriate $131,200.00 from the Wheeler Service Center Fund Balance (8 Votes Required)",,,,,,,,,,,
