link,class,Agenda Number,Agenda Item,Mayor Taylor,Disch (Ward 1),Hayner (Ward 1),Song (Ward 2),Griswold (Ward 2),Radina (Ward 3),Grand (Ward 3),Eyer (Ward 4),Nelson (Ward 4),Briggs (Ward 5),Ramlawi (Ward 5)
https://a2gov.legistar.com/LegislationDetail.aspx?ID=5739415&GUID=E2F016F4-8518-4BA9-BCDB-2AF4F209E9E9&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,nomination pass,MC-1,Appointment - Confirmation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=5747329&GUID=0A19DF11-AADA-40A4-AAF3-79AC8C5DE23B&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-2,"Resolution to Amend the $5,350,000 City of Ann Arbor 2018 Capital Improvement Bonds, Series A dated August 29, 2018",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=5747331&GUID=727194FE-8C20-4474-B562-D83F2B259526&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-3,Resolution to Approve the Second Amendment and Extension to the Lease Agreement between the City and Avfuel Corporation for a Corporate Hangar Located at the Ann Arbor Municipal Airport,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=5747326&GUID=C05BC862-E997-45BC-8E6A-DCACECB5E7A8&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-4,"Resolution to Approve a Contract with Interpersonal Frequency LLC to Redesign the City’s Website (not to exceed $121,978)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=5747332&GUID=97AD8ACA-26DA-41A4-94A6-9CE51B2A25C1&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-5,"Resolution to Approve an Increase to the Fiscal Year 2022 Purchasing Authority with JCI Jones Chemical, Inc. for Sodium Hypochlorite ($15,211.22) for a Total Not-to-Exceed Amount of $122,611.22.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=5747330&GUID=28ECCFA5-0A1D-436B-9989-5C4E985B1FB3&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-6,"Resolution to Approve a General Services Agreement with Du-All Cleaning, Inc. (“Du-All”) for Janitorial services at the Wastewater Treatment Plant, ITB No. 4722 ($94,175.88)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=5747318&GUID=4CFE0BE8-7D00-478E-8A68-D2BCF61E55EE&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-7,"Resolution to Approve a Contract with Info Tech, Inc. d/b/a Infotech for Appia Construction Management Software for FY23-25 ($150,000.00) (RFP 22-08)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=5747321&GUID=42A56635-0315-4777-B698-DAF695E1572F&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-11,"Resolution to Approve Change Order No. 1 with Z Contractors, Inc. for the Huron Parkway Bridge Capital Preventative Maintenance Project ($86,059.75 Increase, Total Contract Amount $743,506.26)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=5747340&GUID=AFE5667A-F0BD-4827-937C-95D34BF3D2C0&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-12,"Resolution to Approve a Construction Contract with Doan Construction Co. for the Ellsworth Road Sidewalk Gap Elimination Project, RFP No. 22-49 ($639,726.00)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=5747309&GUID=2F328A3B-D64B-49A4-A7A7-9D058FED69A3&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-13,"Resolution to Approve a Construction Contract with the Michigan Department of Transportation for the Scio Church Road Resurfacing Project, S. Maple Road to S. Seventh Street ($2,045,700.00) and to Appropriate $115,000.00 from the Water Supply Fund; $240,000.00 from the Stormwater Fund; $50,000.00 from the Sidewalk Construction Millage Fund; and $45,000.00 in Contributions (8 Votes Required)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=5747324&GUID=486B50F9-9665-426B-9499-39D9A8BDF25D&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-15,Resolution to Accept a Sanitary Sewer Easement at 2457 S. State Street from Stellar Hospitality A2 LLC (8 Votes Required),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=5747325&GUID=A0358091-C3EE-49A9-89F7-534739BD960B&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-16,Resolution to Accept a Water Main Easement at 2457 S. State Street from Stellar Hospitality A2 LLC (8 Votes Required),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=5747342&GUID=C4873B77-FFD7-4FF6-AE27-46C8131F5C19&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-17,Resolution to Authorize Settlement of Claim by Deborah Gordon-Gurfinkel and Elihau Gurfinkel,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=5747322&GUID=8D63664E-1357-4A98-B508-B13546208570&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-19,"Resolution to Approve a Construction Contract with Weiss Construction Co., LLC for WTP HVAC Improvements - Phase II ($1,141,800.00) (RFP 22-34)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=5747343&GUID=93933092-DAD7-4BCC-BA36-3159525747F2&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent rollcall pass,CA-1,"Resolution to Close Streets for the Mayor’s Autumnal Green Fair, Friday, October 7, 2022",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=5747328&GUID=0E34C9D5-8891-49C5-A403-E46C815B3293&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent rollcall pass,CA-8,"Resolution to Approve a Professional Services Agreement with Ecology Center, Inc. for Resource Recovery Education, Outreach, Engagement, and Marketing for $853,211.00 over Five (5) Years",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=5747320&GUID=1A4BD36E-6ADE-4FFF-98B5-AA90D3AC74AB&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent rollcall pass,CA-9,"Resolution to Approve a Contract with Margolis Companies, Inc. for the Purchase, Delivery and Planting of Trees along City Street Rights-of-Way ($474,075.00; RFP 22-56)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
