link,class,Agenda Number,Agenda Item,Mayor Taylor,Disch (Ward 1),Hayner (Ward 1),Song (Ward 2),Griswold (Ward 2),Radina (Ward 3),Grand (Ward 3),Eyer (Ward 4),Nelson (Ward 4),Briggs (Ward 5),Ramlawi (Ward 5)
http://a2gov.legistar.com/LegislationDetail.aspx?ID=5721531&GUID=22FCE356-261C-4565-A052-EA5A628EB387&Options=&Search=,nomination,MC-1,"Nomination of Kristina Glusac to the Zoning Board of Appeals, Partial Term Ending: May 31, 2024",,,,,,,,,,,
http://a2gov.legistar.com/LegislationDetail.aspx?ID=5739415&GUID=E2F016F4-8518-4BA9-BCDB-2AF4F209E9E9&Options=&Search=,nomination,MC-2,"Nomination of Simi Barr to the Ann Arbor Area Transportation Authority Board of Directors, Partial Term ending May 1, 2024",,,,,,,,,,,
http://a2gov.legistar.com/LegislationDetail.aspx?ID=5734804&GUID=7ADD70DE-EEAA-4BE9-BDCB-E311B00CD18B&Options=&Search=,consent,CA-1,"Resolution to Close Washington Street between Thayer and Fletcher for the University of Michigan Campus Fire Safety Awareness Event on Wednesday, September 21, 2022 from 7:00 AM until 4:00 PM",,,,,,,,,,,
http://a2gov.legistar.com/LegislationDetail.aspx?ID=5734803&GUID=FB788D8A-5F3D-47D1-BDE9-14FCAEAE5FE4&Options=&Search=,consent,CA-2,Resolution to Approve Street Closures for University of Michigan Football Games for the 2022 Season,,,,,,,,,,,
http://a2gov.legistar.com/LegislationDetail.aspx?ID=5734786&GUID=51C804E0-2B7A-4305-A5FB-69FC851E760B&Options=&Search=,consent,CA-3,"Resolution to Approve a Professional Services Agreement with Wade Trim Associates, Inc. for the Design of the Gallup Park Vehicle and Pedestrian Bridge ($285,524.06) (RFP No. 22-51)",,,,,,,,,,,
http://a2gov.legistar.com/LegislationDetail.aspx?ID=5734787&GUID=7CC5F9A9-A5A3-4131-91A2-28FF710C0D56&Options=&Search=,consent,CA-4,"Resolution to Approve a General Services Agreement for Electrical and Instrumentation Support Services with Utilities Instrumentation Service, RFP #22-45 ($750,000.00)",,,,,,,,,,,
http://a2gov.legistar.com/LegislationDetail.aspx?ID=5734788&GUID=CCB79BA7-4DCD-4146-B145-1154D691764E&Options=&Search=,consent,CA-5,"Resolution to Approve a General Services Agreement with Ballard Marine, LLC d/b/a Ballard Marine Construction, LLC for Dive Inspection Services (RFP #22-48) ($100,000.00)",,,,,,,,,,,
http://a2gov.legistar.com/LegislationDetail.aspx?ID=5734789&GUID=14AF5674-6D0B-49A7-AA0A-DCBB2B039727&Options=&Search=,consent,CA-6,"Resolution to Approve a Construction Contract with Monroe Plumbing and Heating Company for Water Treatment Plant HVAC Maintenance Services (RFP 22-47) ($196,500.00)",,,,,,,,,,,
http://a2gov.legistar.com/LegislationDetail.aspx?ID=5734799&GUID=39BE79B7-A5B0-46BB-B8FD-98B69B01C22F&Options=&Search=,consent,CA-7,"Resolution to Approve a Professional Services Agreement with Black & Veatch Ltd. of Michigan to Design the Ultraviolet (UV) Disinfection System Replacement Project at the Wastewater Treatment Plant, RFP 22-22 ($307,471.00)",,,,,,,,,,,
http://a2gov.legistar.com/LegislationDetail.aspx?ID=5734800&GUID=09BC14D2-1070-4539-B9E1-56CC550EF6B2&Options=&Search=,consent,CA-8,"Resolution to Award a Construction Contract to A. Z. Shmina, Inc. for the Arbor Landing Lift Station Replacement Project (RFP No. 22-32, $837,000.00)",,,,,,,,,,,
http://a2gov.legistar.com/LegislationDetail.aspx?ID=5734801&GUID=81963FF1-FA3D-4237-B1E2-26986FBE2492&Options=&Search=,consent,CA-9,"Resolution to Approve Amendment No. 4 to the Professional Services Agreement with Hubbell, Roth & Clark, Inc. for the Lift Station Replacement Project, RFP No. 18-35 ($130,861.00 Amendment, $553,785.00 contract total)",,,,,,,,,,,
http://a2gov.legistar.com/LegislationDetail.aspx?ID=5734802&GUID=F17F4339-8B8C-4B0F-9968-ABE3197A242F&Options=&Search=,consent,CA-10,"Resolution to Appropriate $21,500.00 from the General Fund Fund Balance to Amend the 2022 Annual Sidewalk and Ramp Repair Project for the Replacement of the Existing Path Between Yorkshire Road and Allen Elementary School. (8 Votes Required)",,,,,,,,,,,
http://a2gov.legistar.com/LegislationDetail.aspx?ID=5735970&GUID=34FA1FFF-FECC-4D5A-9391-85632AB04014&Options=&Search=,consent,CA-11,"Resolution to Approve a Construction Contract with Fonson Company, Inc. ($892,109.00), Approve a CDBG Subrecipient Agreement with the Washtenaw County Office of Community and Economic Development ($676,000.00) and Appropriate $1,227,889.00 in Contributing Funds for the Russell Street Improvements Project (8 Votes Required)",,,,,,,,,,,
http://a2gov.legistar.com/LegislationDetail.aspx?ID=5706099&GUID=6DAEF82A-5085-449B-8C9B-5921C24C987B&Options=&Search=,ordinance,B-1,"[**Public Hearing** PH-1](http://a2gov.legistar.com/LegislationDetail.aspx?ID=5706099&GUID=6DAEF82A-5085-449B-8C9B-5921C24C987B&Options=&Search=)
An Ordinance to Amend Tables 5.15-1 (Primary Use Table) and 5.17-2 (Two-Family Residential Zoning District Dimensions) of Chapter 55 (Unified Development Code) of Title V of the Code of the City of Ann Arbor (ORD-22-11)",,,,,,,,,,,
http://a2gov.legistar.com/LegislationDetail.aspx?ID=5742810&GUID=00BD8314-D286-485A-B205-9D08B9E16AAC&Options=&Search=,resolution,DC-1,"Resolution to Approve the Sale of City-Owned Property at 1146 South Maple to Avalon, Housing, Inc. for the Development of Affordable Housing (8 Votes Required)",,,,,,,,,,,
http://a2gov.legistar.com/LegislationDetail.aspx?ID=5742795&GUID=66D5DFAD-1007-42FD-808A-46F24415827D&Options=&Search=,resolution,DC-2,Resolution for Community Events Fund Disbursements from the FY 2023 Budget,,,,,,,,,,,
http://a2gov.legistar.com/LegislationDetail.aspx?ID=5735971&GUID=6B15CCC2-8D4F-41D2-967E-CC6A86EA48E1&Options=&Search=,resolution,DS-1,Resolution Authorizing Summary Publication of Ordinance 22-11 - An Ordinance to Amend Tables 5.15-1 (Primary Use Table) and 5.17-2 (Two-Family Residential Zoning District Dimensions) of Chapter 55 (Unified Development Code) of Title V of The Code of The City of Ann Arbor - Amendments to M1 permitted uses and R2A minimum dimensions,,,,,,,,,,,
