link,class,Agenda Number,Agenda Item,Mayor Taylor,Disch (Ward 1),Harrison (Ward 1),Song (Ward 2),Watson (Ward 2),Radina (Ward 3),Ghazi-Edwin (Ward 3),Eyer (Ward 4),Akmon (Ward 4),Briggs (Ward 5),Cornell (Ward 5)
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6518923&GUID=A2B028CA-F46A-4149-AF06-BF46C17818C7&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,nomination pass,MC-1,Appointment - Confirmation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6550046&GUID=B5244983-35B0-46EC-A2F6-901F93BED11A&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-1,"Resolution to Approve Participation in the Purchase of a Conservation Easement on the Fletcher Property in Scio Township, Approve a Participation Agreement with Scio Township, and Appropriate $50,000.00 (8 Votes Required)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6550110&GUID=F0D31EBB-0F30-4605-81A1-3121FCBB2BE2&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-2,"Resolution to Approve Participation in the Purchase of a Conservation Easement on the Heller Property in Webster Township, Approve a Participation Agreement with Webster Township, and Appropriate $78,400.00 (8 Votes Required)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6550111&GUID=0DDE48E6-AA3B-41E1-960E-0BD501593A46&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-3,"Resolution to Approve Participation in the Purchase of a Conservation Easement on the Heydon Property in Webster Township, Approve a Participation Agreement with Webster Township, and Appropriate $128,250.00 (8 Votes Required)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6548987&GUID=3A4C7DE8-45E3-4CED-9B24-030378AFBD93&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-4,"Resolution to Approve a 2024 Land and Water Conservation Grant Application to the Michigan Department of Natural Resources Grants Management for Improvements at the Buhr Park Ice Arena and Commit $500,000.00 in Local Matching Funds if the Grant is Awarded",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6550401&GUID=ECD0F59B-2967-44BB-88A4-AA1F23EB6005&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-5,"Resolution to Approve a Declaration of Restrictive Covenant for a Restricted Nonresidential Remedial Action at 2000 S. Industrial Highway, Ann Arbor",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6550112&GUID=F6E83834-B490-46B2-9AED-8A63B53C8573&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-6,"Resolution to Approve a Construction Contract with Spence Brothers for the Supportive Connections Office Space Renovations Project (RFP 23-68) ($135,000.00)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6548975&GUID=16DE4637-1DBD-4655-B51C-0304417BB8A1&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-7,"Resolution to Approve a One-Year Extension of the Contract with Washtenaw County for Police Dispatch Services ($1,012,534.00)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6549001&GUID=3DF75C87-9C79-444B-8143-A7F13203A21D&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-8,"Resolution to Approve Street Closings for the 2024 Take Back the Night/Standing Tough Against Rape (Rally and March) - Wednesday, April 3, 2024",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6549000&GUID=56A1A8B3-A880-46D1-B291-DB58B755314E&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-9,"Resolution to Approve the Closing of Monroe and Tappan Streets for the Annual Monroe Street Fair, Saturday, April 6, 2024",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6549002&GUID=A164D8A1-37F8-4485-AFDF-0933B07CCE75&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-10,"Resolution to Approve Street Closings for the Burns Park Run - Sunday, May 5, 2024 from 5:30 AM until 11:00 AM",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6548999&GUID=FFF901B3-837A-4D7E-B8A2-B2666345B28E&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-11,"Resolution to Close Streets for the Time to Teal 5K and Fun Run to Benefit the Michigan Ovarian Cancer Alliance (MIOCA) on Sunday, May 12, 2024",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6552249&GUID=7BA4918D-7E37-4DE2-AACC-2319BEADF875&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-12,"Resolution To Approve a Professional Services Agreement with Stantec Consulting Services Inc. for Geothermal Advisory and Design Services ($689,200.00)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6553061&GUID=D409C3E1-2A7D-4125-A959-138551D60266&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-13,Resolution to Approve a Grant of Easement for a Private Sanitary Sewer Lead at 519 Eighth Street (8 Votes Required),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6516922&GUID=DABF7458-A183-4F5A-A102-E77B6E06DF00&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,ordinance pass,B-1 - Motion to Adopt on Second Reading by Radina,An Ordinance to Amend Sections 8:530 and 8:531 of Chapter 105 (Housing Code) of Title VII (Building Regulations) of the Code of the City of Ann Arbor (ORD-24-03),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
